   No. ,   Al2O3 ,   MgO   ,   MnO   ,   CaO   ,   TiO2  ,   SiO2  ,   FeO   ,   Cr2O3 ,  Total  ,Comment  ,,Location,Sample
104,0.054,11.69,,0.0204,52.87,0.0027,34.23,0.0624,98.9295,mrwy12_oxide_line Line 005 ,,HM,MRWY12
105,0.0818,6.92,,0.0376,54.56,0.0206,37.51,0.0621,99.1921,mrwy12_oxide_line Line 006 ,,HM,MRWY12
106,0.4698,4.43,,0.0408,7.16,0.0286,84.11,0.2826,96.5219,mrwy12_oxide_line Line 007 ,,HM,MRWY12
107,0.4599,4.54,,0.0242,7.12,0.0411,83.9,0.3347,96.42,mrwy12_oxide_line Line 008 ,,HM,MRWY12
108,0.5712,4.21,,0.0284,12.79,0.0344,78.33,0.3748,96.3389,mrwy12_oxide_line Line 009 ,,HM,MRWY12
109,0.6956,4.23,,0.0233,11.57,0.0475,78.89,0.3865,95.843,mrwy12_oxide_line Line 010 ,,HM,MRWY12
110,0.0821,5.58,,0.137,54.69,0.0345,36.92,0.0402,97.4838,mrwy12_oxide_line Line 011 Line 001 ,,HM,MRWY12
111,0.0711,9.14,,0.0794,53.52,0.0364,35.8,0.0356,98.6826,mrwy12_oxide_line Line 011 Line 002 ,,HM,MRWY12
112,0.0779,8.71,,0.052,52.23,0.0247,37.74,0.0709,98.9056,mrwy12_oxide_line Line 011 Line 003 ,,HM,MRWY12
113,0.0661,11.71,,0.0253,52.05,0.0128,34.96,0.0625,98.8868,mrwy12_oxide_line Line 011 Line 004 ,,HM,MRWY12
114,0.0606,11,,0.0223,51.36,0.0131,37.09,0.0603,99.6064,mrwy12_oxide_line Line 011 Line 005 ,,HM,MRWY12
115,0.0703,9.72,,0.0223,51.6,0,37.59,0.0558,99.0585,mrwy12_oxide_line Line 011 Line 006 ,,HM,MRWY12
116,0.0642,9.89,,0.0201,53.12,0.0004,36.12,0.0655,99.2803,mrwy12_oxide_line Line 011 Line 007 ,,HM,MRWY12
117,0.0631,8.61,,0.0136,55.11,0.0137,35.77,0.0464,99.6269,mrwy12_oxide_line Line 011 Line 008 ,,HM,MRWY12
118,0.364,7.04,,0.0905,45.95,0.0394,43.9,0.2137,97.5977,mrwy12_oxide_line Line 011 Line 009 ,,HM,MRWY12
119,0.483,5.04,,0.0128,8.65,0.034,81.79,0.3257,96.3356,mrwy12_oxide_line Line 011 Line 010 ,,HM,MRWY12
120,0.6288,4.86,,0.0122,10.2,0.0478,80.4,0.3786,96.5275,mrwy12_oxide_line Line 011 Line 011 ,,HM,MRWY12
121,0.8012,4.48,,0.0305,14.15,0.0536,75.94,0.43,95.8854,mrwy12_oxide_line Line 011 Line 012 ,,HM,MRWY12
122,0.6484,4.97,,0.0079,9.83,0.0224,79.98,0.4306,95.8894,mrwy12_oxide_line Line 011 Line 013 ,,HM,MRWY12
123,0.7592,4.79,,0.0196,10.93,0.0262,79.37,0.4293,96.3244,mrwy12_oxide_line Line 011 Line 014 ,,HM,MRWY12
124,0.5713,4.97,,0.0192,10.15,0.0344,80.35,0.4272,96.5222,mrwy12_oxide_line Line 011 Line 015 ,,HM,MRWY12
125,0.8425,4.57,,0.0148,11.61,0.0482,78.1,0.448,95.6336,mrwy12_oxide_line Line 011 Line 016 ,,HM,MRWY12
126,0.5321,4.95,,0.0246,10.37,0.0009,80.11,0.4343,96.422,mrwy12_oxide_line Line 011 Line 017 ,,HM,MRWY12
127,0.3904,4.68,,0.0312,11.69,0.0307,78.93,0.4402,96.1926,mrwy12_oxide_line Line 011 Line 018 ,,HM,MRWY12
128,0.5449,4.83,,0.0155,10.48,0.0269,80.18,0.4428,96.5202,mrwy12_oxide_line Line 011 Line 019 ,,HM,MRWY12
129,0.5293,4.68,,0.0233,11.9,0.0555,78.46,0.4369,96.0851,mrwy12_oxide_line Line 011 Line 020 ,,HM,MRWY12
