   No. ,   SiO2  ,   Al2O3 ,   MgO   ,   CaO   ,   BaO   ,   Na2O  ,   K2O   ,   FeO   ,  Total  ,Comment  ,Location,Sample,Type,   Si  ,   Al,   Mg   ,   Ca,   Ba ,   Na,   K  ,   Fe   
24,56.05,19.43,0.6574,0.7172,0.0464,0.1693,19.7,2.25,99.0203,mrwy57_leu4_3 ,ZM,MRWY57,Lava,2.07,0.84,0.04,0.03,0,0.01,0.93,0.07
25,57.39,20.04,0.5863,0,0,0.0756,19.71,2.2,100.0018,mrwy57_leu4_4 ,ZM,MRWY57,Lava,2.08,0.86,0.03,0,0,0.01,0.91,0.07
26,57.13,19.7,0.6891,0.0043,0.1251,0.0493,20.14,2.34,100.1777,mrwy57_leu4_5 ,ZM,MRWY57,Lava,2.08,0.84,0.04,0,0,0,0.93,0.07
27,56.19,20.24,0.4801,0.0023,0,0.052,20.89,1.87,99.7245,mrwy57_leu5_1 ,ZM,MRWY57,Lava,2.06,0.87,0.03,0,0,0,0.98,0.06
29,55.9,20.3,0.4514,0.0121,0.0598,0.056,20.77,1.76,99.3094,mrwy57_leu5_3 ,ZM,MRWY57,Lava,2.06,0.88,0.02,0,0,0,0.97,0.05
30,56.52,20.29,0.4714,0.0071,0,0.0557,20.58,1.79,99.7143,mrwy57_leu5_4 ,ZM,MRWY57,Lava,2.06,0.87,0.03,0,0,0,0.96,0.05
31,57.39,21.06,0.2938,0,0.0089,0.1029,20.15,0.7666,99.7723,mrwy57_leu5_5 ,ZM,MRWY57,Lava,2.07,0.9,0.02,0,0,0.01,0.93,0.02
32,57.59,18.35,0.8499,0.0411,0,0.4692,19.05,2.84,99.1903,mrwy46a_leu1_1 ,STM,MRWY46,Lava,2.11,0.79,0.05,0,0,0.03,0.89,0.09
33,57.6,18.71,0.7626,0.0432,0.0683,0.401,19.15,2.71,99.4452,mrwy46a_leu1_2 ,STM,MRWY46,Lava,2.1,0.8,0.04,0,0,0.03,0.89,0.08
34,57.83,18.45,0.8347,0.0329,0.0676,0.4181,19.11,3.02,99.7633,mrwy46a_leu1_3 ,STM,MRWY46,Lava,2.11,0.79,0.05,0,0,0.03,0.89,0.09
35,57.61,18.34,0.8469,0.0306,0,0.4252,19.62,2.66,99.5328,mrwy46a_leu2_1 ,STM,MRWY46,Lava,2.11,0.79,0.05,0,0,0.03,0.92,0.08
37,58.48,16.95,1.1246,0.0477,0.1681,0.8622,17.94,3.1,98.6727,mrwy46a_leu2_3 ,STM,MRWY46,Lava,2.14,0.73,0.06,0,0,0.06,0.84,0.1
38,57.82,18.07,0.8562,0.0337,0.0187,0.5098,19.22,2.9,99.4285,mrwy46a_leu3_1 ,STM,MRWY46,Lava,2.11,0.78,0.05,0,0,0.04,0.9,0.09
39,58.17,17.85,0.97,0.0126,0.0045,0.6806,18.38,2.7,98.7678,mrwy46a_leu3_2 ,STM,MRWY46,Lava,2.13,0.77,0.05,0,0,0.05,0.86,0.08
40,57.73,18.38,0.8364,0.0302,0.0488,0.5079,19.15,2.79,99.4734,mrwy46a_leu3_3 ,STM,MRWY46,Lava,2.11,0.79,0.05,0,0,0.04,0.89,0.09
42,58.14,17.66,1.0404,0.038,0.0054,0.5125,18.07,2.99,98.4564,mrwy46a_leu4_2 ,STM,MRWY46,Lava,2.13,0.76,0.06,0,0,0.04,0.85,0.09
44,57.48,18.65,0.7812,0.0325,0,0.3518,19.31,2.81,99.4155,mrwy46a_leu4_4 ,STM,MRWY46,Lava,2.1,0.8,0.04,0,0,0.02,0.9,0.09
45,57.86,18.47,0.8413,0.0233,0,0.3365,18.29,2.93,98.7512,mrwy46a_leu4_5 ,STM,MRWY46,Lava,2.12,0.8,0.05,0,0,0.02,0.85,0.09
46,55.54,22.74,0.0273,0.0226,0.0026,0.0611,21.44,0.611,100.4445,mrwy47_leu1_1 ,STM,MRWY47,Cumul,2.01,0.97,0,0,0,0,0.99,0.02
47,55.62,22.68,0.0237,0.001,0,0.0452,21.41,0.5961,100.3759,mrwy47_leu1_2 ,STM,MRWY47,Cumul,2.02,0.97,0,0,0,0,0.99,0.02
48,57.4,21.66,0.0635,0.0124,0.0891,0.1175,20.17,0.6668,100.1792,mrwy47_leu1_3 ,STM,MRWY47,Cumul,2.07,0.92,0,0,0,0.01,0.93,0.02
49,56.68,21.92,0.0589,0.0166,0,0.0474,20.79,0.5906,100.1034,mrwy47_leu1_4 ,STM,MRWY47,Cumul,2.05,0.93,0,0,0,0,0.96,0.02
50,55.39,22.65,0.0194,0.0056,0.0056,0.0578,21.5,0.601,100.2293,mrwy47_leu1_5 ,STM,MRWY47,Cumul,2.01,0.97,0,0,0,0,1,0.02
51,55.13,22.47,0.0204,0.0135,0,0.0378,21.44,0.5715,99.6833,mrwy47_leu1_6 ,STM,MRWY47,Cumul,2.01,0.97,0,0,0,0,1,0.02
52,55.57,22.57,0.0348,0.0137,0.0645,0.0455,21.54,0.6404,100.4789,mrwy47_leu1_7 ,STM,MRWY47,Cumul,2.02,0.96,0,0,0,0,1,0.02
