   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,   MnO   ,   CaO   ,   TiO2  ,   NiO   ,   FeO   ,K2O,  Total  ,Comment  ,Location,Sample,Type,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #,Mg,Fe,Ca
165,11.697,50.767,0.176,2.97,0.002,0.311,23.148,0.324,0.02,10.188,,99.603,mrwy47_cpx6_1 Line 025 ,STM,MRWY47,Cumul,0.660153796,1.921979168,0.012918643,0.132516862,5.99E-05,0.009972553,0.938960855,0.009227994,0.00060908,0.322564981,0,0.671762676,34.35295795,16.78557528,48.86146677
166,11.586,50.69,0.164,2.968,0.011,0.31,23.147,0.337,0.004,10.197,,99.414,mrwy47_cpx6_1 Line 026 ,STM,MRWY47,Cumul,0.65517765,1.922845464,0.012061546,0.132688568,0.000329901,0.009960074,0.94077039,0.009617166,0.000122056,0.323486093,0,0.669461451,34.13389596,16.85320104,49.012903
167,11.599,50.527,0.183,3.034,0,0.351,23.045,0.362,0.02,10.409,,99.53,mrwy47_cpx6_1 Line 027 ,STM,MRWY47,Cumul,0.656042815,1.917042269,0.013461588,0.135666078,0,0.01127961,0.936810448,0.010332653,0.000610402,0.330276968,0,0.665142103,34.11328074,17.17392628,48.71279297
168,11.349,50.355,0.185,3.137,0.014,0.338,23.007,0.363,0,10.718,,99.466,mrwy47_cpx6_1 Line 028 ,STM,MRWY47,Cumul,0.643220382,1.914438163,0.013636644,0.140559687,0.00042082,0.010884143,0.937185526,0.010382465,0,0.340779609,0,0.653679256,33.48038888,17.73798553,48.78162559
169,11.247,50.298,0.192,3.174,0,0.308,22.954,0.369,0.008,10.754,,99.304,mrwy47_cpx6_1 Line 029 ,STM,MRWY47,Cumul,0.638438981,1.915269788,0.014174819,0.142440563,0,0.009933648,0.936492829,0.010570626,0.000245046,0.342460415,0,0.65087101,33.29725512,17.86073869,48.84200618
170,11.103,50.388,0.192,3.242,0.005,0.35,23.038,0.35,0,10.901,,99.569,mrwy47_cpx6_1 Line 030 ,STM,MRWY47,Cumul,0.629047317,1.914990555,0.014147438,0.145211177,0.000150238,0.011266431,0.938104301,0.010006972,0,0.346471057,0,0.6448339,32.87206645,18.10550539,49.02242816
171,13.108,51.352,0.172,3.125,0.022,0.233,23.109,0.675,0.012,8.56,,100.368,mrwy47_cpx7_1 ,STM,MRWY47,Cumul,0.727758238,1.912513904,0.012419746,0.137165465,0.000647798,0.007349909,0.922136534,0.018912377,0.000359506,0.266613483,0,0.731877449,37.9731335,13.91141844,48.11544806
172,12.051,51.323,0.216,2.494,0.006,0.413,22.478,0.21,0,11.028,,100.219,mrwy47_cpx7_2 ,STM,MRWY47,Cumul,0.677034923,1.934178537,0.015782483,0.110771616,0.000178774,0.013182973,0.907630392,0.005953864,0,0.347570083,0,0.660776513,35.03894626,17.98797826,46.97307548
173,12.656,51.942,0.197,2.179,0.007,0.373,22.872,0.215,0,10.083,,100.524,mrwy47_cpx7_3 ,STM,MRWY47,Cumul,0.705831537,1.94321029,0.014289084,0.096074002,0.000207047,0.011819218,0.916794741,0.006051105,0,0.315465598,0,0.691112814,36.4188894,16.27712298,47.30398762
174,11.532,49.797,0.255,4.275,0,0.324,22.641,0.441,0.011,10.893,,100.169,mrwy47_cpx7_4 ,STM,MRWY47,Cumul,0.649115458,1.880256239,0.018667711,0.190238099,0,0.010361859,0.915959562,0.012527014,0.000334106,0.343971506,0,0.653634054,34.00207639,18.01797394,47.97994967
175,13.807,51.624,0.167,2.599,0.081,0.26,22.702,0.693,0,8.444,,100.377,mrwy47_cpx7_5 ,STM,MRWY47,Cumul,0.765481148,1.919921038,0.012041629,0.113916206,0.002381695,0.008189999,0.904612683,0.019389208,0,0.262628011,0,0.744552406,39.60637952,13.58850537,46.8051151
176,13.094,51.677,0.181,2.495,0.014,0.275,23.116,0.449,0.016,8.981,,100.298,mrwy47_cpx7_6 ,STM,MRWY47,Cumul,0.728913066,1.929733042,0.013104352,0.109803961,0.00041333,0.00869784,0.924867381,0.012613668,0.000480615,0.280469565,0,0.722137516,37.68453206,14.50017129,47.81529665
177,12.889,50.894,0.184,3.367,0.013,0.255,23.402,0.675,0.011,8.695,,100.385,mrwy47_cpx7_7 ,STM,MRWY47,Cumul,0.717242314,1.899808409,0.013316745,0.148126873,0.000383668,0.00806236,0.935972379,0.018955799,0.000330304,0.271440041,0,0.725452731,37.26602499,14.10331089,48.63066412
178,14.27,52.123,0.17,2.419,0.109,0.25,22.371,0.476,0,7.951,,100.139,mrwy47_cpx7_8 ,STM,MRWY47,Cumul,0.789661576,1.934830738,0.012234875,0.105827116,0.003198965,0.007860178,0.889745519,0.013292775,0,0.246829142,0,0.761860731,40.99505352,12.81406386,46.19088262
