   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,   MnO   ,   CaO   ,   TiO2  ,   NiO   ,   FeO   ,K2O,Total,Comment  ,Location,Sample,type,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #
12,51.32,40.65,0.0154,0,0,0.1348,0.1267,0.0151,0.2984,7.29,,99.8554,mrwy44_ol5_3 ,STM,MRWY44,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.15,0,0.926192612
13,51.35,40.53,0.0007,0.0018,0.0072,0.0866,0.0086,0.0088,0.3521,7.23,,99.5835,mrwy247_ol1_1 ,EH,MRWY247,XENO,1.87,0.99,0,0,0,0,0,0,0.01,0.15,0,0.926795245
14,51.52,40.43,0.0058,0,0.0042,0.0769,0.0096,0.0143,0.3317,7.05,,99.4393,mrwy247_ol1_2 ,EH,MRWY247,XENO,1.87,0.99,0,0,0,0,0,0,0.01,0.14,0,0.928706583
15,50.74,40.21,0,0.0149,0,0.1029,0.0135,0.0125,0.3894,8.07,,99.5602,mrwy247_ol2_1 ,EH,MRWY247,XENO,1.85,0.99,0,0,0,0,0,0,0.01,0.17,0,0.91808497
16,50.86,40.07,0.0084,0.003,,0.0941,0.0345,0.0042,0.3822,7.84,,99.3079,mrwy247_ol2_2 ,EH,MRWY247,XENO,1.86,0.98,0,0,0,0,0,0,0.01,0.16,0,0.920406597
17,51.33,40.25,0,0.0069,,0.111,0.0549,0.0145,0.4328,7.09,,99.2902,mrwy247_ol2_3 ,EH,MRWY247,XENO,1.87,0.98,0,0,0,0,0,0,0.01,0.15,0,0.928084864
18,50.58,40.67,0.007,0.0004,,0.091,0.0122,0.0034,0.3869,8.52,,100.2808,mrwy247_ol2_4 ,EH,MRWY247,XENO,1.84,0.99,0,0,0,0,0,0,0.01,0.17,0,0.913661638
19,50.81,40.7,0.0139,0.0122,,0.1227,0.1086,0.0074,0.4539,7.29,,99.5284,mrwy247_ol2_7 ,EH,MRWY247,XENO,1.85,0.99,0,0,0,0,0,0,0.01,0.15,0,0.925506965
20,51.31,40.75,0.0036,0.0066,,0.1179,0.0973,0.0125,0.4626,7.23,,99.9952,mrwy247_ol2_8 ,EH,MRWY247,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.15,0,0.926742357
21,51.65,41.09,0.0047,0.0151,,0.1377,0.1006,0.0232,0.4623,6.58,,100.0773,mrwy247_ol2_9 ,EH,MRWY247,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.13,0,0.933298761
22,51.36,40.94,0.031,0.0031,,0.0755,0.0067,0.0123,0.3711,7.23,,100.0387,mrwy304_ol1_1 ,EH,MRWY304,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.15,0,0.926808455
23,51.36,40.9,0.0142,0,,0.1017,0.007,0.0045,0.3776,7.28,,100.049,mrwy304_ol1_2 ,EH,MRWY304,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.15,0,0.926339574
24,48.06,40.08,0.0343,0,,0.3685,0.0693,0.0265,0.2738,10.8,,99.7627,mrwy304_ol2_1 ,EH,MRWY304,XENO,1.77,0.99,0,0,0,0.01,0,0,0.01,0.22,0,0.888047492
25,48.1,40.19,0.0288,0.0049,,0.3473,0.0786,0.0425,0.263,10.72,,99.8043,mrwy304_ol2_2 ,EH,MRWY304,XENO,1.77,0.99,0,0,0,0.01,0,0,0.01,0.22,0,0.88886675
26,51.62,41.05,0.0037,0,,0.1257,0.059,0,0.3884,6.99,,100.2428,mrwy304_ol3_1 ,EH,MRWY304,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.929397766
27,51.4,41.08,0.0057,0.0084,,0.1283,0.0521,0,0.3932,7.2,,100.2738,mrwy304_ol3_2 ,EH,MRWY304,XENO,1.85,0.99,0,0,0,0,0,0,0.01,0.15,0,0.927142617
28,51.71,41.33,0.019,0.0058,,0.1258,0.079,0.004,0.4026,6.83,,100.5154,mrwy304_ol4_1 ,EH,MRWY304,XENO,1.86,1,0,0,0,0,0,0,0.01,0.14,0,0.931014139
29,51.62,41.08,0.0041,0,,0.1135,0.1027,0.0051,0.4116,6.85,,100.1949,mrwy304_ol4_2 ,EH,MRWY304,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.930713855
30,51.55,40.95,0.0092,0,,0.1379,0.0807,0.0091,0.4409,6.93,,100.1192,mrwy304_ol4_3 ,EH,MRWY304,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.929872912
31,51.45,40.94,0.0066,0,,0.11,0.0974,0.009,0.4117,6.84,,99.8747,mrwy304_ol4_4 ,EH,MRWY304,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.930595249
1,49.86,40.92,0.037,0.012,,0.1629,0.3162,0.0197,0.2756,8.84,,100.503,mrwy286_ol_px_cumul1 ,HM,MRWY286,CUMUL,1.81,1,0,0,0,0,0.01,0,0.01,0.18,0,0.90953567
2,49.1,40.6,0.141,0.1699,,0.1867,0.1792,0.0575,0.2788,9.04,,99.9278,mrwy286_ol_px_cumul2 ,HM,MRWY286,CUMUL,1.8,1,0.01,0,0,0,0,0,0.01,0.19,0,0.906382684
3,50.4,40.82,0.0427,0.0108,,0.1317,0.3537,0.0338,0.3103,8.21,,100.3658,mrwy286_ol_px_cumul3 ,HM,MRWY286,CUMUL,1.83,0.99,0,0,0,0,0.01,0,0.01,0.17,0,0.916267767
4,49.99,40.91,0.0291,0.0238,,0.1679,0.3041,0.072,0.2994,8.66,,100.5272,mrwy286_ol_px_cumul4 ,HM,MRWY286,CUMUL,1.81,0.99,0,0,0,0,0.01,0,0.01,0.18,0,0.911424595
8,49.19,40.62,0.0644,0.0198,,0.1675,0.2328,0.0613,0.2729,8.86,,99.5912,mrwy286_ol_px_cumul8 ,HM,MRWY286,CUMUL,1.8,1,0,0,0,0,0.01,0,0.01,0.18,0,0.908228147
9,49.61,40.62,0.0497,0.0179,,0.1803,0.2271,0.1441,0.3025,8.63,,99.8714,mrwy286_ol_px_cumul9 ,HM,MRWY286,CUMUL,1.81,0.99,0,0,0,0,0.01,0,0.01,0.18,0,0.911088156
27,50.53,40.88,0.0882,0.0094,,0.1331,0.4052,0.0633,0.3102,7.3,,99.7618,mrwy286_ol_px_cumul18 ,HM,MRWY286,CUMUL,1.84,1,0,0,0,0,0.01,0,0.01,0.15,0,0.925030077
28,50.75,40.9,0.0842,0.0179,,0.1499,0.2928,0.0242,0.3378,7.42,,100.0465,mrwy286_ol_px_cumul19 ,HM,MRWY286,CUMUL,1.84,0.99,0,0,0,0,0.01,0,0.01,0.15,0,0.924196409
29,50.21,40.8,0.0873,0.0075,,0.1259,0.307,0.0337,0.3098,8.01,,99.941,mrwy286_ol_px_cumul20 ,HM,MRWY286,CUMUL,1.83,1,0,0,0,0,0.01,0,0.01,0.16,0,0.917856235
30,50.77,40.87,0.1054,0.0111,,0.1378,0.3409,0.0337,0.2999,7.28,,99.9031,mrwy286_ol_px_cumul21 ,HM,MRWY286,CUMUL,1.84,0.99,0,0,0,0,0.01,0,0.01,0.15,0,0.925547296
31,50.29,40.86,0.0682,0.0082,,0.1339,0.3503,0.0617,0.3166,7.62,,99.7517,mrwy286_ol_px_cumul22 ,HM,MRWY286,CUMUL,1.83,1,0,0,0,0,0.01,0,0.01,0.16,0,0.921656982
32,50.21,40.88,0.0178,0.0088,,0.1439,0.2995,0.0202,0.3172,7.9,,99.834,mrwy286_ol_px_cumul23 ,HM,MRWY286,CUMUL,1.83,1,0,0,0,0,0.01,0,0.01,0.16,0,0.918892808
45,49.95,40.51,0.0726,0.0101,,0.1614,0.2915,0.0894,0.3076,8.38,,99.823,mrwy286_ol_px_cumul36 ,HM,MRWY286,CUMUL,1.82,0.99,0,0,0,0,0.01,0,0.01,0.17,0,0.91397938
47,49.11,40.14,0.38,0.0133,,0.1552,0.34,0.0602,0.3097,7.86,,98.4975,mrwy286_ol_px_cumul38 ,HM,MRWY286,CUMUL,1.82,1,0.02,0,0,0,0.01,0,0.01,0.16,0,0.917611063
81,51.45,41.55,0.0602,0.0048,,0.1176,0.0894,0.0112,0.3177,6.36,,100.0059,mrwy265_ol_px_cumul1 ,HM,MRWY265,CUMUL,1.85,1,0,0,0,0,0,0,0.01,0.13,0,0.935149905
82,51.8,41.21,0.0938,0.0169,,0.1125,0.0799,0.0351,0.3217,6.27,,99.9998,mrwy265_ol_px_cumul2 ,HM,MRWY265,CUMUL,1.87,1,0,0,0,0,0,0,0.01,0.13,0,0.936413751
83,50.97,41.6,0.0918,0.0997,,0.1504,0.1055,0.0121,0.3531,6.56,,100.0412,mrwy265_ol_px_cumul3 ,HM,MRWY265,CUMUL,1.84,1.01,0,0,0,0,0,0,0.01,0.13,0,0.932660421
84,51.5,41.69,0.0258,0.0209,,0.1317,0.0962,0.0271,0.3355,6.21,,100.0842,mrwy265_ol_px_cumul4 ,HM,MRWY265,CUMUL,1.85,1,0,0,0,0,0,0,0.01,0.13,0,0.936640062
