   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,MnO,   CaO   ,   TiO2  ,NiO,   FeO   ,  Total  ,Comment  ,Location,Sample,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #,Mg,Fe,Ca
47,20.64,52.83,0.0276,0.9947,0.0066,,0.3849,0.2667,,26.53,101.6805,pyroxene4_12 ,HM,MRWY14,1.15,1.97,0,0.04,0,0,0.02,0.01,0,0.83,0,0.581029533,57.65397121,41.57329336,0.772735427
48,20.31,52.76,0.0157,1.1686,0.0111,,0.4602,0.0872,,26.42,101.2327,pyroxene4_13 ,HM,MRWY14,1.13,1.97,0,0.05,0,0,0.02,0,0,0.83,0,0.578114613,57.27225088,41.79504409,0.932705035
49,20.52,52.9,0.0388,1.0008,0.0172,,0.4979,0.0487,,26.05,101.0733,pyroxene4_14 ,HM,MRWY14,1.14,1.98,0,0.04,0,0,0.02,0,0,0.81,0,0.584051725,57.81628859,41.1754379,1.008273511
50,20.41,52.7,0.0345,1.3851,0.017,,0.39,0.043,,26.12,101.0995,pyroxene5_1 ,HM,MRWY14,1.14,1.97,0,0.06,0,0,0.02,0,0,0.82,0,0.582092695,57.7476212,41.459295,0.793083802
51,20.53,52.61,0.0185,1.42,0.0177,,0.3569,0.0628,,26.64,101.6558,pyroxene5_2 ,HM,MRWY14,1.14,1.96,0,0.06,0,0,0.01,0,0,0.83,0,0.578719682,57.4565089,41.82559728,0.717893815
52,20.47,52.55,0.1331,1.2836,0.0299,,0.7293,0.065,,25.78,101.0408,pyroxene5_3 ,HM,MRWY14,1.14,1.96,0.01,0.06,0,0,0.03,0,0,0.81,0,0.585988833,57.73259551,40.78906959,1.478334908
53,20.73,53.03,0.0282,1.0494,0.0189,,0.4624,0.038,,26.03,101.3868,pyroxene5_4 ,HM,MRWY14,1.15,1.97,0,0.05,0,0,0.02,0,0,0.81,0,0.586709383,58.12422191,40.94394302,0.931835076
54,20.41,52.58,0.0212,1.2338,0.0204,,0.9275,0.0728,,25.84,101.1056,pyroxene5_5 ,HM,MRWY14,1.14,1.97,0,0.05,0,0,0.04,0,0,0.81,0,0.584712126,57.37548456,40.75055396,1.873961475
55,20.51,52.99,0.0136,1.2766,0,,0.7703,0.0401,,25.98,101.5805,pyroxene5_6 ,HM,MRWY14,1.14,1.97,0,0.06,0,0,0.03,0,0,0.81,0,0.584586887,57.55054179,40.89597332,1.553484886
56,20.57,52.99,0.0223,1.2101,0.0252,,0.3968,0.0909,,26.23,101.5352,pyroxene5_7 ,HM,MRWY14,1.14,1.97,0,0.05,0,0,0.02,0,0,0.82,0,0.58296969,57.82956053,41.36866792,0.801771551
