   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   MgO   ,   K2O   ,   MnO   ,   TiO2  ,   F     ,   CaO   ,   FeO   ,  Total  ,Comment  ,Sample,Location,type,   Si,   Al,   Na,   Mg,   K,   Mn   ,   Ti,F,   Ca,   Fe,OH
49,52.13,1.12,4.05,19.62,4.31,0.0549,5.61,1.89,6.32,3.01,98.115,mrwy263_amph2_3 ,MRWY263,EH,lava+xeno,7.5,0.19,1.13,4.21,0.79,0.01,0.61,0.86,0.97,0.36,1.14
50,52.1,1.0202,4.04,19.21,4.53,0.0723,5.99,1.49,6.19,3.34,97.9826,mrwy263_amph2_4 ,MRWY263,EH,lava+xeno,7.49,0.17,1.13,4.12,0.83,0.01,0.65,0.68,0.95,0.4,1.32
51,51.89,1.0145,3.98,18.44,4.43,0.0523,6.42,1.15,6.08,3.84,97.2969,mrwy263_amph2_5 ,MRWY263,EH,lava+xeno,7.5,0.17,1.11,3.97,0.82,0.01,0.7,0.53,0.94,0.46,1.47
52,52.01,1.0344,4.11,18.55,4.31,0.0779,6.37,1.39,6.14,3.6,97.5924,mrwy263_amph2_6 ,MRWY263,EH,lava+xeno,7.5,0.18,1.15,3.99,0.79,0.01,0.69,0.63,0.95,0.43,1.37
53,51.73,1.0701,4.07,18.64,4.4,0.0595,6.39,1.42,6.18,3.66,97.6197,mrwy263_amph2_7 ,MRWY263,EH,lava+xeno,7.47,0.18,1.14,4.01,0.81,0.01,0.69,0.65,0.96,0.44,1.35
54,51.81,0.777,4.13,18.36,4.61,0.0706,6.53,1.33,5.78,3.93,97.3277,mrwy263_amph2_8 ,MRWY263,EH,lava+xeno,7.51,0.13,1.16,3.97,0.85,0.01,0.71,0.61,0.9,0.48,1.39
55,52.09,0.7702,4.11,18.82,4.61,0.0965,6.2,1.38,5.86,3.67,97.6068,mrwy263_amph2_9 ,MRWY263,EH,lava+xeno,7.52,0.13,1.15,4.05,0.85,0.01,0.67,0.63,0.91,0.44,1.37
56,51.67,1.0236,4.13,18.22,4.45,0.0811,6.75,1.34,5.97,4,97.6347,mrwy263_amph2_10 ,MRWY263,EH,lava+xeno,7.47,0.17,1.16,3.93,0.82,0.01,0.73,0.61,0.92,0.48,1.39
57,51.71,1.0469,3.96,18.33,4.54,0.06,6.55,1.22,6.02,3.94,97.377,mrwy263_amph2_11 ,MRWY263,EH,lava+xeno,7.48,0.18,1.11,3.95,0.84,0.01,0.71,0.56,0.93,0.48,1.44
58,52.28,0.7237,4.18,18.76,4.65,0.0723,6.18,1.42,5.79,3.72,97.7761,mrwy263_amph3_1 ,MRWY263,EH,lava+xeno,7.54,0.12,1.17,4.03,0.86,0.01,0.67,0.65,0.89,0.45,1.35
