   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   F     ,   K2O   ,   MnO   ,   CaO   ,   MgO   ,   TiO2  ,   FeO   ,   Cr2O3 ,   NiO   ,   Cl    ,   Rb2O  ,   BaO   ,  Total  ,Comment  ,Location,Sample,type,   Si  ,   Al,   Na  ,   K,   Mn ,   Ca,   Mg ,   Ti ,   Fe,   Cr,   Ni   ,   Rb ,   Ba   ,   Cl    ,   F     ,OH
66,41.73,12.04,0.13,1.33,10.97,0.01,0,25.3,2.67,3.17,0.06,0,0,0,2.67,97.35,mrwy54_phl4_14 ,ZM,MRWY54,lava,5.76,1.96,0.03,1.93,0,0,5.21,0.42,0.37,0.01,0,0,0.14,0,0.58,3.42
67,41.77,12.07,0.14,1.53,10.98,0.03,0.01,25.24,2.54,3.19,0.04,0.03,0,0,2.08,97.5,mrwy54_phl4_15 ,ZM,MRWY54,lava,5.78,1.97,0.04,1.94,0,0,5.21,0.4,0.37,0,0,0,0.11,0,0.67,3.33
68,41.85,12.07,0.15,1.24,10.97,0.01,0,25.41,2.41,3.23,0.06,0,0,0,2.48,97.34,mrwy54_phl4_16 ,ZM,MRWY54,lava,5.78,1.97,0.04,1.93,0,0,5.23,0.38,0.37,0.01,0,0,0.13,0,0.54,3.46
69,41.99,12.03,0.13,1.28,11.01,0,0,25.33,2.53,3.15,0.02,0,0,0,2.45,97.45,mrwy54_phl4_17 ,ZM,MRWY54,lava,5.79,1.96,0.03,1.94,0,0,5.21,0.39,0.36,0,0,0,0.13,0,0.56,3.44
70,40.6,12.67,0.12,1.27,10.84,0.03,0,24.86,3.13,3.4,0.03,0,0,0,2.53,96.92,mrwy54_phl4_18 ,ZM,MRWY54,lava,5.63,2.07,0.03,1.92,0,0,5.14,0.49,0.39,0,0,0,0.14,0,0.56,3.44
71,41.62,12.17,0.14,1.61,10.97,0.03,0.01,25.2,2.88,3.17,0.02,0.06,0,0,2.32,97.8,mrwy54_phl4_19 ,ZM,MRWY54,lava,5.74,1.98,0.04,1.93,0,0,5.18,0.45,0.37,0,0.01,0,0.13,0,0.7,3.3
72,41.3,12.2,0.13,1.32,10.84,0.03,0,24.81,2.74,3.21,0.03,0,0,0,2.39,96.59,mrwy54_phl4_20 ,ZM,MRWY54,lava,5.75,2,0.04,1.92,0,0,5.15,0.43,0.37,0,0,0,0.13,0,0.58,3.42
73,41.5,11.4,0.13,1.7,10.83,0.04,0.02,25.46,2.61,3.66,0.03,0.02,0,0,2.34,97.35,mrwy54_phl5_1 ,ZM,MRWY54,lava,5.77,1.87,0.04,1.92,0,0,5.28,0.41,0.43,0,0,0,0.13,0,0.75,3.25
74,41.3,11.76,0.14,1.59,10.88,0,0.02,25.54,2.34,3.46,0.02,0,0,0,2.57,97.04,mrwy54_phl5_2 ,ZM,MRWY54,lava,5.76,1.93,0.04,1.94,0,0,5.31,0.37,0.4,0,0,0,0.14,0,0.7,3.3
75,40.91,12.59,0.12,1.36,10.85,0.03,0.02,24.94,2.87,3.14,0.03,0,0,0,2.65,96.82,mrwy54_phl5_3 ,ZM,MRWY54,lava,5.68,2.06,0.03,1.92,0,0,5.16,0.45,0.36,0,0,0,0.14,0,0.6,3.4
76,40.97,11.21,0.12,1.56,10.92,0.03,0.01,25.63,2.66,3.69,0.02,0,0,0,2.66,96.81,mrwy54_phl5_4 ,ZM,MRWY54,lava,5.73,1.85,0.03,1.95,0,0,5.35,0.42,0.43,0,0,0,0.15,0,0.69,3.31
77,40,13.35,0.16,1.03,10.79,0.03,0.01,22.96,3.54,5.15,0.02,0,0,0,2.5,97.02,mrwy54_phl5_5 ,ZM,MRWY54,lava,5.56,2.19,0.04,1.91,0,0,4.76,0.56,0.6,0,0,0,0.14,0,0.45,3.55
78,41.53,11.78,0.13,1.59,10.92,0.03,0.02,25.67,2.3,3.32,0.04,0,0,0,2.74,97.28,mrwy54_phl5_6 ,ZM,MRWY54,lava,5.77,1.93,0.04,1.94,0,0,5.32,0.36,0.39,0,0,0,0.15,0,0.7,3.3
79,41.35,12.38,0.13,1.66,11.01,0,0,25.02,2.32,3.16,0.02,0,0,0,2.48,97.03,mrwy54_phl6_1 ,ZM,MRWY54,lava,5.76,2.03,0.04,1.96,0,0,5.2,0.36,0.37,0,0,0,0.14,0,0.73,3.27
80,40.63,12.23,0.12,1.26,10.83,0.01,0,24.49,2.75,2.95,0.03,0.08,0.01,0,2.37,95.27,mrwy54_phl6_2 ,ZM,MRWY54,lava,5.73,2.03,0.03,1.95,0,0,5.14,0.44,0.35,0,0.01,0,0.13,0,0.56,3.44
81,41.35,12.58,0.15,1.38,10.97,0.01,0.02,24.58,2.66,2.91,0.03,0.05,0,0,2.7,96.61,mrwy54_phl6_3 ,ZM,MRWY54,lava,5.75,2.06,0.04,1.94,0,0,5.09,0.42,0.34,0,0.01,0,0.15,0,0.61,3.39
82,41.1,12.48,0.13,1.25,10.91,0.01,0,24.65,2.55,2.78,0.02,0,0,0,2.73,95.86,mrwy54_phl6_4 ,ZM,MRWY54,lava,5.75,2.06,0.04,1.95,0,0,5.14,0.4,0.33,0,0,0,0.15,0,0.55,3.45
83,41.28,12.35,0.1,1.3,10.88,0,0,24.78,2.45,2.9,0.02,0,0.01,0,2.56,96.05,mrwy54_phl6_5 ,ZM,MRWY54,lava,5.77,2.03,0.03,1.94,0,0,5.16,0.39,0.34,0,0,0,0.14,0,0.57,3.42
84,40.84,12.08,0.12,1.59,10.78,0.03,0.04,24.86,2.3,3.17,0.04,0,0,0,2.63,95.81,mrwy54_phl6_6 ,ZM,MRWY54,lava,5.76,2.01,0.03,1.94,0,0.01,5.22,0.37,0.37,0,0,0,0.15,0,0.71,3.29
85,41.24,12.18,0.12,1.45,10.92,0.02,0.01,25.11,2.22,3.14,0.93,0.14,0,0,1.01,96.42,mrwy54_phl6_7 ,ZM,MRWY54,lava,5.75,2,0.03,1.94,0,0,5.22,0.35,0.37,0.1,0.02,0,0.05,0,0.64,3.36
86,41.35,12.23,0.12,1.6,10.94,0.01,0.01,25.18,2.24,3.22,0.81,0.08,0,0,1.15,96.9,mrwy54_phl6_8 ,ZM,MRWY54,lava,5.75,2,0.03,1.94,0,0,5.22,0.35,0.37,0.09,0.01,0,0.06,0,0.7,3.3
87,41.29,12.31,0.11,1.34,10.94,0,0.03,25.15,2.29,3.04,1.38,0.18,0,0,0.84,96.5,mrwy54_phl6_9 ,ZM,MRWY54,lava,5.72,2.01,0.03,1.93,0,0,5.2,0.36,0.35,0.15,0.02,0,0.05,0,0.59,3.41
88,41.13,12.78,0.13,1.36,10.8,0.01,0.02,24.73,2.84,3.06,0.91,0.15,0,0,1,96.86,mrwy54_phl6_10 ,ZM,MRWY54,lava,5.68,2.08,0.03,1.9,0,0,5.09,0.44,0.35,0.1,0.02,0,0.05,0,0.59,3.41
89,41.64,12.26,0.12,1.42,10.88,0,0.01,24.69,2.53,2.88,1.36,0.35,0,0,1.16,96.43,mrwy54_phl6_11 ,ZM,MRWY54,lava,5.75,2,0.03,1.92,0,0,5.08,0.39,0.33,0.15,0.04,0,0.06,0,0.62,3.38
90,41.43,12.2,0.12,1.54,10.9,0.02,0,25.05,2.26,3.11,0.37,0.21,0,0,1.17,96.63,mrwy54_phl6_12 ,ZM,MRWY54,lava,5.78,2.01,0.03,1.94,0,0,5.21,0.36,0.36,0.04,0.02,0,0.06,0,0.68,3.32
91,41.7,12.16,0.11,1.3,11,0.01,0,24.85,2.73,2.99,0.56,0.02,0,0,1.23,96.86,mrwy54_phl6_13 ,ZM,MRWY54,lava,5.77,1.98,0.03,1.94,0,0,5.13,0.43,0.35,0.06,0,0,0.07,0,0.57,3.43
92,41.37,12.58,0.12,1.3,10.98,0.01,0,24.94,3.22,3.15,1.13,0.15,0,0,0.98,97.67,mrwy54_phl6_14 ,ZM,MRWY54,lava,5.65,2.03,0.03,1.91,0,0,5.08,0.5,0.36,0.12,0.02,0,0.05,0,0.56,3.44
93,41.92,12.36,0.12,1.43,10.96,0.01,0.14,25.1,2.51,3.15,0.43,0.1,0.01,0,1.27,97.7,mrwy54_phl6_15 ,ZM,MRWY54,lava,5.77,2.01,0.03,1.93,0,0.02,5.15,0.39,0.36,0.05,0.01,0,0.07,0,0.62,3.38
94,42.04,12.16,0.13,1.55,10.95,0.01,0,25.3,2.52,2.94,0.53,0.1,0,0,1.02,97.6,mrwy54_phl6_16 ,ZM,MRWY54,lava,5.79,1.97,0.03,1.92,0,0,5.2,0.39,0.34,0.06,0.01,0,0.06,0,0.68,3.32
95,41.64,12.16,0.11,1.21,10.88,0.01,0.01,24.97,2.74,3.01,1.32,0.37,0,0,1.08,96.74,mrwy54_phl6_17 ,ZM,MRWY54,lava,5.72,1.97,0.03,1.91,0,0,5.12,0.43,0.35,0.14,0.04,0,0.06,0,0.53,3.47
96,41.32,12.46,0.13,1.39,10.98,0.02,0.01,24.89,2.64,2.94,1.29,0.15,0,0,0.96,96.78,mrwy54_phl6_18 ,ZM,MRWY54,lava,5.7,2.03,0.04,1.93,0,0,5.12,0.41,0.34,0.14,0.02,0,0.05,0,0.61,3.39
