   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   F     ,   K2O   ,   MnO   ,   CaO   ,   MgO   ,   TiO2  ,   FeO   ,   Cr2O3 ,   NiO   ,   Cl    ,   Rb2O  ,   BaO   ,  Total  ,Comment  ,Location,Sample,type,   Si  ,   Al,   Na  ,   K,   Mn ,   Ca,   Mg ,   Ti ,   Fe,   Cr,   Ni   ,   Rb ,   Ba   ,   Cl    ,   F     ,OH
192,38.29,9.44,0.73,1.81,9.26,0.05,0.01,17.31,10.64,8.27,,,,,,95.81,mrwy12_phl6_10 ,HM,MRWY12,lava,5.38,1.56,0.2,1.66,0.01,0,3.62,1.69,0.97,0,0,0,0,0,0.8,3.2
193,38.65,9.51,0.65,1.85,9.33,0.05,0.03,17.42,10.86,7.98,,,,,,96.33,mrwy12_phl6_11 ,HM,MRWY12,lava,5.38,1.56,0.18,1.66,0.01,0,3.62,1.71,0.93,0,0,0,0,0,0.82,3.18
2,41.99,12,0.11,2.48,11.14,0.03,0,25.19,2.47,3.3,,,,,,97.67,mrwy57_phl1_1 ,ZM,MRWY57,lava,5.83,1.97,0.03,1.97,0,0,5.22,0.39,0.38,0,0,0,0,0,1.09,2.91
3,41.81,11.92,0.11,1.67,11.15,0.03,0,25.22,2.52,3.23,,,,,,96.96,mrwy57_phl1_2 ,ZM,MRWY57,lava,5.82,1.96,0.03,1.98,0,0,5.24,0.4,0.38,0,0,0,0,0,0.73,3.27
4,41.77,12.09,0.13,1.68,11,0.01,0.02,25.21,2.39,3.07,,,,,,96.65,mrwy57_phl1_3 ,ZM,MRWY57,lava,5.83,1.99,0.03,1.96,0,0,5.25,0.38,0.36,0,0,0,0,0,0.74,3.26
5,41.68,12.22,0.11,1.63,11.2,0,0,24.33,2.86,3.36,,,,,,96.7,mrwy57_phl1_4 ,ZM,MRWY57,lava,5.81,2.01,0.03,1.99,0,0,5.06,0.45,0.39,0,0,0,0,0,0.72,3.28
6,41.75,12.25,0.13,1.54,11.05,0.02,0.01,24.29,2.79,3.36,,,,,,96.54,mrwy57_phl1_5 ,ZM,MRWY57,lava,5.83,2.01,0.03,1.97,0,0,5.05,0.44,0.39,0,0,0,0,0,0.68,3.32
7,41.55,12.25,0.14,1.89,10.99,0.01,0.01,24.3,2.82,3.49,,,,,,96.66,mrwy57_phl1_6 ,ZM,MRWY57,lava,5.81,2.02,0.04,1.96,0,0,5.06,0.44,0.41,0,0,0,0,0,0.84,3.16
8,41.31,12.14,0.17,1.38,10.86,0.01,0.01,24.13,2.74,3.35,,,,,,95.51,mrwy57_phl1_7 ,ZM,MRWY57,lava,5.82,2.02,0.05,1.95,0,0,5.07,0.44,0.39,0,0,0,0,0,0.62,3.38
9,41.69,12.03,0.14,1.75,11.05,0.01,0.01,24.21,2.76,3.31,,,,,,96.21,mrwy57_phl1_8 ,ZM,MRWY57,lava,5.84,1.99,0.04,1.98,0,0,5.06,0.44,0.39,0,0,0,0,0,0.78,3.22
10,41.69,12.32,0.14,1.6,11.12,0,0,24.41,2.82,3.1,,,,,,96.51,mrwy57_phl1_9 ,ZM,MRWY57,lava,5.82,2.02,0.04,1.98,0,0,5.08,0.44,0.36,0,0,0,0,0,0.71,3.29
11,41.91,12.29,0.13,1.54,10.97,0.02,0,24.46,2.76,3.07,,,,,,96.5,mrwy57_phl1_10 ,ZM,MRWY57,lava,5.84,2.02,0.04,1.95,0,0,5.08,0.43,0.36,0,0,0,0,0,0.68,3.32
12,41.77,12.08,0.12,1.77,10.92,0.03,0,24.95,2.47,3.11,,,,,,96.47,mrwy57_phl1_11 ,ZM,MRWY57,lava,5.84,1.99,0.03,1.95,0,0,5.2,0.39,0.36,0,0,0,0,0,0.78,3.22
13,41.8,12.2,0.13,1.69,11.09,0.03,0,24.32,2.77,3.16,,,,,,96.46,mrwy57_phl1_12 ,ZM,MRWY57,lava,5.84,2.01,0.03,1.98,0,0,5.06,0.44,0.37,0,0,0,0,0,0.75,3.25
14,41.54,12.32,0.13,1.58,10.88,0.03,0.05,24,2.77,3.43,,,,,,96.07,mrwy57_phl1_13 ,ZM,MRWY57,lava,5.82,2.04,0.04,1.95,0,0.01,5.02,0.44,0.4,0,0,0,0,0,0.7,3.3
15,41.59,12.14,0.14,1.6,10.9,0.04,0,24.2,2.73,3.25,,,,,,95.92,mrwy57_phl1_14 ,ZM,MRWY57,lava,5.84,2.01,0.04,1.95,0.01,0,5.07,0.43,0.38,0,0,0,0,0,0.71,3.29
16,41.56,12.19,0.11,1.62,11.14,0.03,0.01,24.54,2.77,3.11,,,,,,96.4,mrwy57_phl1_15 ,ZM,MRWY57,lava,5.81,2.01,0.03,1.99,0,0,5.11,0.44,0.36,0,0,0,0,0,0.72,3.28
17,41.38,12.23,0.12,1.63,10.93,0.04,0,24.02,2.79,3.45,,,,,,95.91,mrwy57_phl1_16 ,ZM,MRWY57,lava,5.82,2.03,0.03,1.96,0.01,0,5.03,0.44,0.41,0,0,0,0,0,0.73,3.27
18,41.58,12.24,0.11,1.47,10.94,0.02,0.01,24.2,2.77,3.32,,,,,,96.02,mrwy57_phl1_17 ,ZM,MRWY57,lava,5.83,2.02,0.03,1.96,0,0,5.05,0.44,0.39,0,0,0,0,0,0.65,3.35
19,41.43,12.13,0.14,1.62,10.9,0.02,0.22,24.22,2.81,3.24,,,,,,96.05,mrwy57_phl1_18 ,ZM,MRWY57,lava,5.81,2.01,0.04,1.95,0,0.03,5.07,0.45,0.38,0,0,0,0,0,0.72,3.28
20,41.91,12.02,0.11,1.48,11.12,0.02,0,25.22,2.48,3.26,,,,,,97,mrwy57_phl1_19 ,ZM,MRWY57,lava,5.83,1.97,0.03,1.97,0,0,5.23,0.39,0.38,0,0,0,0,0,0.65,3.35
21,41.99,12.15,0.1,1.42,11.14,0.01,0.01,24.56,2.83,3,,,,,,96.61,mrwy57_phl2_1 ,ZM,MRWY57,lava,5.84,1.99,0.03,1.98,0,0,5.09,0.44,0.35,0,0,0,0,0,0.62,3.38
22,42.02,11.91,0.13,1.43,10.7,0.02,0.12,23.93,2.95,3.21,,,,,,95.82,mrwy57_phl2_2 ,ZM,MRWY57,lava,5.88,1.96,0.03,1.91,0,0.02,4.99,0.47,0.38,0,0,0,0,0,0.63,3.37
23,41.71,12.14,0.14,1.55,11.04,0.02,0.01,24.25,2.77,3.4,,,,,,96.37,mrwy57_phl2_3 ,ZM,MRWY57,lava,5.83,2,0.04,1.97,0,0,5.05,0.44,0.4,0,0,0,0,0,0.69,3.31
24,41.96,12.19,0.14,1.29,11.11,0.03,0.01,24.36,2.83,3.3,,,,,,96.67,mrwy57_phl2_4 ,ZM,MRWY57,lava,5.84,2,0.04,1.97,0,0,5.05,0.44,0.38,0,0,0,0,0,0.57,3.43
25,41.43,12.03,0.2,1.44,11.04,0.01,0.01,24.9,2.42,3.19,,,,,,96.06,mrwy57_phl2_5 ,ZM,MRWY57,lava,5.82,1.99,0.05,1.98,0,0,5.21,0.38,0.37,0,0,0,0,0,0.64,3.36
26,41.72,12.06,0.15,1.46,10.92,0.03,0.41,23.78,2.81,3.24,,,,,,95.97,mrwy57_phl2_6 ,ZM,MRWY57,lava,5.85,1.99,0.04,1.95,0,0.06,4.97,0.44,0.38,0,0,0,0,0,0.65,3.35
27,41.77,12.33,0.12,1.41,11.04,0.01,0,24.22,2.87,3.33,,,,,,96.5,mrwy57_phl2_7 ,ZM,MRWY57,lava,5.82,2.02,0.03,1.96,0,0,5.03,0.45,0.39,0,0,0,0,0,0.62,3.38
28,41.77,12.03,0.12,1.44,10.99,0.03,0,25.06,2.35,3.07,,,,,,96.25,mrwy57_phl3_1 ,ZM,MRWY57,lava,5.85,1.98,0.03,1.96,0,0,5.23,0.37,0.36,0,0,0,0,0,0.64,3.36
29,41.95,11.68,0.11,1.57,10.97,0.03,0,25.54,2.44,3.34,,,,,,96.97,mrwy57_phl3_2 ,ZM,MRWY57,lava,5.84,1.92,0.03,1.95,0,0,5.3,0.38,0.39,0,0,0,0,0,0.69,3.31
30,41.54,12.27,0.1,1.35,11.14,0.01,0.01,24.27,2.77,3.13,,,,,,96.02,mrwy57_phl3_3 ,ZM,MRWY57,lava,5.82,2.03,0.03,1.99,0,0,5.07,0.44,0.37,0,0,0,0,0,0.6,3.4
31,41.44,12.15,0.13,1.44,11.11,0.01,0,24.39,2.67,3.19,,,,,,95.93,mrwy57_phl3_4 ,ZM,MRWY57,lava,5.82,2.01,0.03,1.99,0,0,5.11,0.42,0.38,0,0,0,0,0,0.64,3.36
32,41.88,12.14,0.12,1.46,11.23,0.02,0,24.65,2.64,3.16,,,,,,96.67,mrwy57_phl3_5 ,ZM,MRWY57,lava,5.84,1.99,0.03,2,0,0,5.12,0.41,0.37,0,0,0,0,0,0.64,3.36
33,41.68,12.24,0.11,1.44,11.01,0.01,0,24.48,2.58,3.18,,,,,,96.13,mrwy57_phl3_6 ,ZM,MRWY57,lava,5.84,2.02,0.03,1.97,0,0,5.11,0.41,0.37,0,0,0,0,0,0.64,3.36
34,41.68,12.09,0.09,1.32,11.01,0.01,0.01,24.94,2.36,3.28,,,,,,96.23,mrwy57_phl3_7 ,ZM,MRWY57,lava,5.84,2,0.02,1.97,0,0,5.21,0.37,0.38,0,0,0,0,0,0.59,3.41
35,41.7,12.08,0.13,1.39,11.11,0.03,0.01,24.51,2.79,2.97,,,,,,96.13,mrwy57_phl3_8 ,ZM,MRWY57,lava,5.83,1.99,0.03,1.98,0,0,5.11,0.44,0.35,0,0,0,0,0,0.61,3.39
36,41.38,12.16,0.11,2.16,11.05,0.02,0,24.4,2.74,3.3,,,,,,96.4,mrwy57_phl3_9 ,ZM,MRWY57,lava,5.81,2.01,0.03,1.98,0,0,5.11,0.43,0.39,0,0,0,0,0,0.96,3.04
37,41.41,12.07,0.11,1.58,10.95,0.02,0.01,24.48,2.57,3.32,,,,,,95.84,mrwy57_phl3_10 ,ZM,MRWY57,lava,5.83,2,0.03,1.96,0,0,5.13,0.41,0.39,0,0,0,0,0,0.7,3.3
38,42.12,11.57,0.11,1.57,11.12,0.01,0,25.47,2.32,3.25,,,,,,96.88,mrwy57_phl4_1 ,ZM,MRWY57,lava,5.87,1.9,0.03,1.98,0,0,5.29,0.37,0.38,0,0,0,0,0,0.69,3.31
39,41.79,12.17,0.11,1.55,10.94,0.02,0.01,24.85,2.79,3.14,,,,,,96.71,mrwy57_phl4_2 ,ZM,MRWY57,lava,5.81,1.99,0.03,1.94,0,0,5.15,0.44,0.37,0,0,0,0,0,0.68,3.32
40,41.28,11.43,0.13,1.98,10.74,0.01,0.05,25.44,2.43,3.34,,,,,,96,mrwy57_phl4_3 ,ZM,MRWY57,lava,5.82,1.9,0.03,1.93,0,0.01,5.35,0.39,0.39,0,0,0,0,0,0.88,3.12
41,41.74,12.27,0.13,1.39,11.01,0.04,0.01,24.31,2.82,3.29,,,,,,96.41,mrwy57_phl4_4 ,ZM,MRWY57,lava,5.82,2.02,0.03,1.96,0,0,5.06,0.44,0.38,0,0,0,0,0,0.61,3.39
42,41.96,12.06,0.13,1.72,11.02,0.02,0,24.72,2.64,3.09,,,,,,96.63,mrwy57_phl4_5 ,ZM,MRWY57,lava,5.85,1.98,0.04,1.96,0,0,5.14,0.42,0.36,0,0,0,0,0,0.76,3.24
43,41.98,12.13,0.11,1.45,11.06,0.01,0,24.8,2.85,3.03,,,,,,96.81,mrwy57_phl4_6 ,ZM,MRWY57,lava,5.83,1.98,0.03,1.96,0,0,5.13,0.45,0.35,0,0,0,0,0,0.64,3.36
44,41.48,12.25,0.11,1.52,10.84,0,0,25.01,2.38,3.15,,,,,,96.1,mrwy57_phl4_7 ,ZM,MRWY57,lava,5.81,2.02,0.03,1.94,0,0,5.23,0.38,0.37,0,0,0,0,0,0.67,3.33
45,41.66,12.26,0.11,1.47,10.91,0.02,0,24.27,2.83,3.4,,,,,,96.32,mrwy57_phl4_8 ,ZM,MRWY57,lava,5.82,2.02,0.03,1.94,0,0,5.05,0.45,0.4,0,0,0,0,0,0.65,3.35
46,41.51,12.14,0.12,1.6,11.15,0.01,0.01,24.89,2.36,3.06,,,,,,96.17,mrwy57_phl5_1 ,ZM,MRWY57,lava,5.83,2.01,0.03,2,0,0,5.21,0.37,0.36,0,0,0,0,0,0.71,3.29
47,41.95,12.27,0.14,1.62,11.04,0.02,0.01,24.55,2.88,3.05,,,,,,96.86,mrwy57_phl5_2 ,ZM,MRWY57,lava,5.82,2.01,0.04,1.95,0,0,5.08,0.45,0.35,0,0,0,0,0,0.71,3.29
48,42.07,12.25,0.14,1.47,11.08,0.02,0.01,24.61,2.86,2.98,,,,,,96.87,mrwy57_phl5_3 ,ZM,MRWY57,lava,5.83,2,0.04,1.96,0,0,5.09,0.45,0.35,0,0,0,0,0,0.64,3.36
49,41.84,12.2,0.12,1.38,10.83,0.02,0.01,24.2,2.79,3.31,,,,,,96.13,mrwy57_phl5_4 ,ZM,MRWY57,lava,5.85,2.01,0.03,1.93,0,0,5.04,0.44,0.39,0,0,0,0,0,0.61,3.39
50,41.86,12.33,0.13,1.31,11.1,0.02,0,24.19,2.8,3.36,,,,,,96.55,mrwy57_phl5_5 ,ZM,MRWY57,lava,5.83,2.02,0.03,1.97,0,0,5.02,0.44,0.39,0,0,0,0,0,0.58,3.42
51,40.29,11.71,0.13,1.51,10.56,0.01,1.69,24.15,2.26,3.04,,,,,,94.7,mrwy57_phl5_6 ,ZM,MRWY57,lava,5.77,1.98,0.04,1.93,0,0.26,5.16,0.37,0.36,0,0,0,0,0,0.68,3.32
52,42.18,11.95,0.11,1.67,11.12,0.02,0,25.37,2.36,3.2,,,,,,97.27,mrwy57_phl5_7 ,ZM,MRWY57,lava,5.85,1.96,0.03,1.97,0,0,5.25,0.37,0.37,0,0,0,0,0,0.73,3.27
53,41.77,12.16,0.12,1.33,11.08,0.01,0,24.33,2.85,3.51,,,,,,96.59,mrwy57_phl5_8 ,ZM,MRWY57,lava,5.82,2,0.03,1.97,0,0,5.05,0.45,0.41,0,0,0,0,0,0.59,3.41
54,42.83,11.98,0.16,1,11.04,0.01,0,25.52,2.61,2.75,,,,,,97.47,mrwy46a_phl1_1 ,STM,MRWY46,lava+xeno,5.88,1.94,0.04,1.93,0,0,5.22,0.4,0.32,0,0,0,0,0,0.43,3.57
55,42.74,11.85,0.16,0.93,10.78,0.03,0.02,25.42,2.46,2.82,,,,,,96.82,mrwy46a_phl1_2 ,STM,MRWY46,lava+xeno,5.9,1.93,0.04,1.9,0,0,5.23,0.38,0.33,0,0,0,0,0,0.4,3.6
56,42.56,11.81,0.18,1.01,10.99,0,0.02,25.51,2.21,2.77,,,,,,96.65,mrwy46a_phl1_3 ,STM,MRWY46,lava+xeno,5.91,1.93,0.05,1.94,0,0,5.28,0.35,0.32,0,0,0,0,0,0.44,3.56
57,42.75,11.99,0.14,0.99,11.12,0.02,0.01,25.41,2.43,2.86,,,,,,97.28,mrwy46a_phl1_4 ,STM,MRWY46,lava+xeno,5.89,1.95,0.04,1.95,0,0,5.22,0.38,0.33,0,0,0,0,0,0.43,3.57
58,43.01,11.46,0.19,0.98,11.05,0,0.01,25.33,2.71,3.06,,,,,,97.39,mrwy46a_phl1_5 ,STM,MRWY46,lava+xeno,5.92,1.86,0.05,1.94,0,0,5.19,0.42,0.35,0,0,0,0,0,0.43,3.57
59,42.57,11.9,0.15,1.02,11.01,0,0,25.51,2.46,2.95,,,,,,97.14,mrwy46a_phl1_6 ,STM,MRWY46,lava+xeno,5.88,1.94,0.04,1.94,0,0,5.25,0.38,0.34,0,0,0,0,0,0.45,3.55
60,42.42,12.03,0.17,1.06,11.04,0.01,0.01,25.45,2.41,2.71,,,,,,96.86,mrwy46a_phl1_7 ,STM,MRWY46,lava+xeno,5.87,1.96,0.05,1.95,0,0,5.25,0.38,0.31,0,0,0,0,0,0.46,3.54
61,42.4,11.95,0.17,1.05,10.98,0.02,0.01,25.4,2.3,2.73,,,,,,96.56,mrwy46a_phl1_8 ,STM,MRWY46,lava+xeno,5.89,1.96,0.05,1.94,0,0,5.26,0.36,0.32,0,0,0,0,0,0.46,3.54
62,42.32,11.89,0.16,1,10.96,0.02,0,25.62,2.07,3.08,,,,,,96.71,mrwy46a_phl1_9 ,STM,MRWY46,lava+xeno,5.88,1.95,0.04,1.94,0,0,5.31,0.33,0.36,0,0,0,0,0,0.44,3.56
63,42.69,11.7,0.21,1,10.73,0.01,0.1,24.37,2.6,2.83,,,,,,95.83,mrwy46a_phl2_1 ,STM,MRWY46,lava+xeno,5.95,1.92,0.06,1.91,0,0.02,5.07,0.41,0.33,0,0,0,0,0,0.44,3.56
64,42.14,12.16,0.18,1.08,11.02,0,0.01,25.15,2.37,2.72,,,,,,96.37,mrwy46a_phl2_2 ,STM,MRWY46,lava+xeno,5.86,1.99,0.05,1.96,0,0,5.22,0.37,0.32,0,0,0,0,0,0.47,3.53
65,42.55,10.75,0.25,2.13,10.68,0.05,0.07,24.14,2.94,4.55,,,,,,97.22,mrwy46a_phl2_3 ,STM,MRWY46,lava+xeno,5.94,1.77,0.07,1.9,0.01,0.01,5.02,0.46,0.53,0,0,0,0,0,0.94,3.06
66,41.75,11.89,0.2,1.36,10.74,0.03,0.04,25.35,2.17,3.33,,,,,,96.27,mrwy46a_phl2_4 ,STM,MRWY46,lava+xeno,5.85,1.96,0.05,1.92,0,0.01,5.29,0.34,0.39,0,0,0,0,0,0.6,3.4
67,42.09,12.14,0.22,1.07,10.74,0.01,0.02,25,2.17,2.75,,,,,,95.75,mrwy46a_phl2_5 ,STM,MRWY46,lava+xeno,5.89,2,0.06,1.92,0,0,5.22,0.34,0.32,0,0,0,0,0,0.47,3.53
68,42.83,11.33,0.2,1.13,10.81,0.02,0.01,25.45,2.3,2.68,,,,,,96.27,mrwy46a_phl2_6 ,STM,MRWY46,lava+xeno,5.96,1.86,0.05,1.92,0,0,5.28,0.36,0.31,0,0,0,0,0,0.5,3.5
69,42.19,10.5,0.19,1.29,10.67,0.02,0.02,25.11,2.36,4.44,,,,,,96.26,mrwy46a_phl2_7 ,STM,MRWY46,lava+xeno,5.93,1.74,0.05,1.91,0,0,5.26,0.37,0.52,0,0,0,0,0,0.57,3.43
70,41.97,12.04,0.19,1.22,10.79,0.03,0.06,24.63,1.93,3.13,,,,,,95.47,mrwy46a_phl3_1 ,STM,MRWY46,lava+xeno,5.92,2,0.05,1.94,0,0.01,5.18,0.31,0.37,0,0,0,0,0,0.54,3.46
71,41.39,11.9,0.2,1.21,10.82,0.03,0.02,25.3,2.36,3.05,,,,,,95.76,mrwy46a_phl3_2 ,STM,MRWY46,lava+xeno,5.82,1.97,0.05,1.94,0,0,5.3,0.37,0.36,0,0,0,0,0,0.54,3.46
72,42.66,11.87,0.2,1.46,10.71,0.03,0.03,24.57,2.53,3.16,,,,,,96.6,mrwy46a_phl3_3 ,STM,MRWY46,lava+xeno,5.93,1.94,0.05,1.9,0,0,5.09,0.4,0.37,0,0,0,0,0,0.64,3.36
73,42.5,11.95,0.19,1.14,10.92,0.03,0.02,25.26,2.34,2.75,,,,,,96.6,mrwy46a_phl3_4 ,STM,MRWY46,lava+xeno,5.9,1.95,0.05,1.93,0,0,5.22,0.37,0.32,0,0,0,0,0,0.5,3.5
74,42.52,11.94,0.19,1.1,10.91,0,0.03,25.23,2.24,2.74,,,,,,96.42,mrwy46a_phl3_5 ,STM,MRWY46,lava+xeno,5.91,1.96,0.05,1.94,0,0,5.23,0.35,0.32,0,0,0,0,0,0.48,3.52
75,43.26,12.16,0.2,1.24,10.98,0.01,0.03,24.85,2.21,2.67,,,,,,97.07,mrwy46a_phl3_6 ,STM,MRWY46,lava+xeno,5.97,1.98,0.05,1.93,0,0,5.11,0.34,0.31,0,0,0,0,0,0.54,3.46
76,41.98,11.67,0.18,1.26,10.77,0.03,0.02,25.03,2.22,4.15,,,,,,96.79,mrwy46a_phl3_7 ,STM,MRWY46,lava+xeno,5.86,1.92,0.05,1.92,0,0,5.21,0.35,0.48,0,0,0,0,0,0.56,3.44
77,42.01,11.72,0.21,1.77,10.74,0.02,0.01,24.84,2.31,4.04,,,,,,96.91,mrwy46a_phl3_8 ,STM,MRWY46,lava+xeno,5.87,1.93,0.06,1.91,0,0,5.18,0.36,0.47,0,0,0,0,0,0.78,3.22
78,41.84,12.18,0.18,1.31,10.87,0.03,0.01,24.86,2.3,3.33,,,,,,96.33,mrwy46a_phl3_9 ,STM,MRWY46,lava+xeno,5.85,2.01,0.05,1.94,0,0,5.18,0.36,0.39,0,0,0,0,0,0.58,3.42
79,42.67,11.63,0.21,1.19,10.98,0.02,0.01,24.8,2.59,3.09,,,,,,96.68,mrwy46a_phl3_10 ,STM,MRWY46,lava+xeno,5.92,1.9,0.06,1.94,0,0,5.13,0.41,0.36,0,0,0,0,0,0.52,3.48
80,41.67,12.17,0.23,1.11,10.91,0.02,0.02,24.89,2.23,3.19,,,,,,95.96,mrwy46a_phl3_11 ,STM,MRWY46,lava+xeno,5.84,2.01,0.06,1.95,0,0,5.2,0.35,0.37,0,0,0,0,0,0.49,3.51
81,41.93,12.19,0.17,1.23,10.91,0.03,0,25.1,2.27,3.4,,,,,,96.71,mrwy46a_phl3_12 ,STM,MRWY46,lava+xeno,5.84,2,0.05,1.94,0,0,5.21,0.36,0.4,0,0,0,0,0,0.54,3.46
82,41.29,12.73,0.19,1.02,10.66,0.02,0.02,25.13,2.54,2.88,,,,,,96.05,mrwy46a_phl3_13 ,STM,MRWY46,lava+xeno,5.76,2.09,0.05,1.9,0,0,5.23,0.4,0.34,0,0,0,0,0,0.45,3.55
83,41.98,11.93,0.18,1.52,10.83,0.04,0.02,24.85,2.26,4.34,,,,,,97.31,mrwy46a_phl3_14 ,STM,MRWY46,lava+xeno,5.85,1.96,0.05,1.92,0,0,5.16,0.35,0.51,0,0,0,0,0,0.67,3.33
84,42.24,11.33,0.21,1.8,10.56,0.06,0.03,24.9,2.26,4.39,,,,,,97.02,mrwy46a_phl3_15 ,STM,MRWY46,lava+xeno,5.9,1.87,0.06,1.88,0.01,0,5.19,0.36,0.51,0,0,0,0,0,0.8,3.2
85,41.15,11.36,0.18,1.64,10.77,0.04,0.04,25.35,2.39,4.26,,,,,,96.48,mrwy46a_phl3_16 ,STM,MRWY46,lava+xeno,5.79,1.88,0.05,1.93,0,0.01,5.32,0.38,0.5,0,0,0,0,0,0.73,3.27
86,42.96,11.31,0.19,1.09,10.81,0.02,0.01,25.62,2.24,2.87,,,,,,96.68,mrwy46a_phl3_17 ,STM,MRWY46,lava+xeno,5.96,1.85,0.05,1.91,0,0,5.3,0.35,0.33,0,0,0,0,0,0.48,3.52
87,42.31,12.12,0.19,1.34,10.95,0.05,0,25.36,2.18,2.91,,,,,,96.83,mrwy46a_phl3_18 ,STM,MRWY46,lava+xeno,5.88,1.98,0.05,1.94,0.01,0,5.25,0.34,0.34,0,0,0,0,0,0.59,3.41
88,42.22,11.76,0.2,1.07,11.06,0.02,0.01,24.81,2.34,3.38,,,,,,96.42,mrwy46a_phl3_19 ,STM,MRWY46,lava+xeno,5.89,1.93,0.05,1.97,0,0,5.16,0.37,0.39,0,0,0,0,0,0.47,3.53
89,42.3,11.99,0.19,0.95,10.89,0.02,0.02,24.87,2.22,3.47,,,,,,96.52,mrwy46a_phl3_20 ,STM,MRWY46,lava+xeno,5.89,1.97,0.05,1.94,0,0,5.16,0.35,0.4,0,0,0,0,0,0.42,3.58
90,41.29,12.1,0.19,1.68,10.9,0.03,0,24.33,2.5,4.31,,,,,,96.61,mrwy46a_phl3_21 ,STM,MRWY46,lava+xeno,5.8,2,0.05,1.95,0,0,5.09,0.4,0.51,0,0,0,0,0,0.75,3.25
91,42.47,9.41,0.38,2.1,10.78,0.01,0.02,24.37,2.32,6.06,,,,,,97.01,mrwy46a_phl3_22 ,STM,MRWY46,lava+xeno,6.01,1.57,0.1,1.95,0,0,5.14,0.37,0.72,0,0,0,0,0,0.94,3.06
92,42.13,11.95,0.19,1.25,10.83,0.03,0,24.86,2.35,3.57,,,,,,96.63,mrwy46a_phl3_23 ,STM,MRWY46,lava+xeno,5.87,1.96,0.05,1.93,0,0,5.17,0.37,0.42,0,0,0,0,0,0.55,3.45
93,41.8,11.93,0.19,1.09,10.95,0.05,0,24.84,2.33,3.54,,,,,,96.24,mrwy46a_phl3_24 ,STM,MRWY46,lava+xeno,5.85,1.97,0.05,1.96,0.01,0,5.18,0.37,0.41,0,0,0,0,0,0.48,3.52
94,41.78,12.08,0.19,0.94,10.82,0.04,0.01,24.87,2.34,3.38,,,,,,96.04,mrwy46a_phl3_25 ,STM,MRWY46,lava+xeno,5.85,1.99,0.05,1.93,0,0,5.19,0.37,0.4,0,0,0,0,0,0.41,3.59
95,41.79,11.42,0.21,1.17,10.74,0.03,0.01,24.88,2.31,4.01,,,,,,96.08,mrwy46a_phl3_26 ,STM,MRWY46,lava+xeno,5.87,1.89,0.06,1.93,0,0,5.21,0.37,0.47,0,0,0,0,0,0.52,3.48
96,42.32,11.89,0.2,1.02,10.89,0.03,0,25.17,2.35,2.66,,,,,,96.09,mrwy46a_phl3_27 ,STM,MRWY46,lava+xeno,5.9,1.95,0.05,1.94,0,0,5.23,0.37,0.31,0,0,0,0,0,0.45,3.55
97,41.92,11.59,0.18,1.4,10.95,0.02,0.01,24.65,2.23,4.75,,,,,,97.1,mrwy46a_phl3_28 ,STM,MRWY46,lava+xeno,5.86,1.91,0.05,1.95,0,0,5.14,0.35,0.56,0,0,0,0,0,0.62,3.38
98,41.68,11.26,0.19,1.24,10.78,0.06,0.02,24.74,2.24,5.02,,,,,,96.7,mrwy46a_phl3_29 ,STM,MRWY46,lava+xeno,5.86,1.87,0.05,1.93,0.01,0,5.18,0.36,0.59,0,0,0,0,0,0.55,3.45
99,42.3,11.81,0.18,1.21,10.88,0.02,0,24.94,2.54,2.97,,,,,,96.34,mrwy46a_phl3_30 ,STM,MRWY46,lava+xeno,5.89,1.94,0.05,1.93,0,0,5.18,0.4,0.35,0,0,0,0,0,0.53,3.47
100,41.74,11.74,0.17,1.12,10.97,0,0.03,25.4,2.06,3.13,,,,,,95.9,mrwy46a_phl4_1 ,STM,MRWY46,lava+xeno,5.87,1.94,0.05,1.97,0,0,5.32,0.33,0.37,0,0,0,0,0,0.5,3.5
101,41.92,11.72,0.18,1.29,10.79,0.03,0,25.35,2.07,3.02,,,,,,95.83,mrwy46a_phl4_2 ,STM,MRWY46,lava+xeno,5.89,1.94,0.05,1.93,0,0,5.31,0.33,0.35,0,0,0,0,0,0.57,3.43
102,42.19,11.74,0.2,0.98,10.87,0.03,0.03,25.54,1.98,2.83,,,,,,95.98,mrwy46a_phl4_3 ,STM,MRWY46,lava+xeno,5.9,1.94,0.05,1.94,0,0,5.33,0.31,0.33,0,0,0,0,0,0.43,3.57
103,42.29,11.42,0.18,1.04,10.89,0.03,0.01,25.78,1.94,3.15,,,,,,96.29,mrwy46a_phl4_4 ,STM,MRWY46,lava+xeno,5.91,1.88,0.05,1.94,0,0,5.37,0.31,0.37,0,0,0,0,0,0.46,3.54
104,42.61,11.35,0.22,1.01,10.95,0.03,0.01,25.77,1.86,2.86,,,,,,96.25,mrwy46a_phl4_5 ,STM,MRWY46,lava+xeno,5.95,1.87,0.06,1.95,0,0,5.37,0.29,0.33,0,0,0,0,0,0.45,3.55
105,42.56,11.4,0.17,1.11,10.92,0.02,0,25.88,1.72,2.63,,,,,,95.95,mrwy46a_phl4_6 ,STM,MRWY46,lava+xeno,5.96,1.88,0.05,1.95,0,0,5.4,0.27,0.31,0,0,0,0,0,0.49,3.51
